character,user,makise
Rintaro,"What Hououin Kyouma desires is the destruction of all who would call themselves gods, the collapse of their hateful System, and a glorious new age of Chaos. Muhahaha!",I’m not asking Hououin. I’m asking Okabe.
Rintaro,I... I am Hououin!,"In other words, you don’t have your own reason."
Rintaro,"Continue, assistant.","At least show respect when you’re asking a favor... Umm... ’Stage 1: Construction and implementation of the Large Hadron Collider.’ ’Over the past half century, beginning with the Proton Synchrotron completed in 1959, particle accelerator technology has reached the point where standardized results may be obtained.’ ’Stage 2: Implementation and testing of lifter technology.’ ’The formation of more than two artificial localized singularities, as well as the formation of Kerr black holes, will become possible when this stage is complete.’ ’In order to hide the program’s true goal, it is necessary to intentionally leak misinformation regarding the formation of black holes.’ ’Stage 3: Animal experimentation.’ ’Stage 4... ...Human experimentation."
Rintaro,"Really. But first, Christina.",Eh?
Rintaro,You should leave.,Why are you suddenly--
Rintaro,"The Jellyman’s Report... it just gives me a bad feeling. Once we see it, we can no longer return to our normal lives. You’re a genius. You’re already published, for crying out loud. There’s no need to throw away your promising future.",Are you worried about me?
Rintaro,"Of course I am. You are my assistant, after all.","...I keep telling you, I’m not your assistant. Thanks for your concern. But I’m not leaving. We need to expose this truth to the world."
Rintaro,No! It’s too dangerous.,You chickening out?
Rintaro,"We’re powerless against this conspiracy. One wrong move, and they’ll have us erased.",But still--
Rintaro,This isn’t a game! I’m not joking here.,... ...Fine. I won’t tell anyone. But I’m not leaving. It’ll keep me awake at night.
Rintaro,You won’t regret this?,I won’t.
Rintaro,"Alright... let’s begin. Henceforth, this shall be known as Operation Laegjarn’s Chest!",Why Norse mythology?
Itaru,"Is that Norse mythology? Because it’s cool, I guess.","Anyway, what is it with men and military terms..."
Itaru,Ready? I’m opening it.,"’Jellyman’s Report 10’ ’Subject: James McCarthy, Age: 31, American’ ’Z Program Stage 4, Date of Experiment: 2005-01-28 T13:05’ ’Results: Error. Human is dead. Mismatch.’"
Itaru,That again...,"’It is believed that due to infinite compression by supergravity, the subject could not endure passage through the singularity inside the Kerr black hole.’ ’April 3, 1921. New York City. An unidentified man was discovered dead in an alley off Union Square. The right half of his body was embedded in a nearby wall.’ ’The man’s body... ...was completely gelified.’"
Itaru,What’s going on here? They... gelified someone?,"They’re experimenting on people... And this means they’ve created a time machine, doesn’t it? Even if it’s not perfect."
Rintaro,Eh...?,This New York Times article is from 1921.
Rintaro,90 years ago...,Look.
Itaru,So... SERN used the LHC to send someone back to 1921?,"Looks like they failed to keep him alive, though."
Rintaro,More Jellymen? That means more gelified people... more victims of human experimentation... Show me the others.,"’Jellyman’s Report 9.’ ’Subject: Dan Strayski, Age: 26, Canadian.’ ’Z Program 4, Date of Experiment: 2004-9-6 T 14:10.’ ’Results: Error. Human is dead. Mismatch.’ The newspaper clipping... I think it’s in French. I can’t read it."
Rintaro,"You can read the date, though. January 31, 2001.","The location is... Pau, France, I guess. ’Jellyman’s Report 8.’ ’Subject: Linda Hill, Age: 25, British’ ’Z Program 4, Date of Experiment: 2004-2-15 T 13:45’ ’Results: Error. Human is Dead. Mismatch.’ ’October 2, 1972. The gelified body of a woman was discovered on the streets of Dharmapuri in Tamil Nadu, India.’ ’There were signs that the body had been run over by a car.’ ’Jellyman’s Report 7.’ ’Subject: Michael Lang, Age: 33, German’ ’Z Program 4, Date of Experiment: 2002-10-8 T 13:28’ ’Results: Error. Human is dead. Mismatch.’ ’Jellyman’s Report 6.’ ’Subject: Mark Hughes, Age: 30, American’ ’Z Program 4, Date of Experiment: 2002-8-23 T 12:52’ ’Result: Error. Human is Dead. Mismatch.’ ”’On July 1, 1985, a strange body washed ashore on the coast of Streymoy, Faroe Islands.’” ’It appeared to be the body of an adult male, but its flesh was soft like that of a jellyfish. Some of the island’s inhabitants believe that it was the body of a merman.’ ’The inscription ’SERN’ was found near the body’s shoulder, but SERN denies any involvement.’"
Rintaro,I’ve seen enough.,The sites are spread throughout the world. What can we deduce from this?
Rintaro,They must have sent them to those places.,I don’t think so. It’s too random.
Itaru,"There was something about Kerr black holes and gravity, right? Isn’t that the cause?","It is believed that due to infinite compression by supergravity, the subject could not endure passage through the Kerr black hole’s singularity.’ That’s what it said."
Itaru,What’s a Kerr black hole? Is it different from a regular black hole?,It’s a theoretical black hole with a rotating singularity. Their existence hasn’t been proven yet. Not that there’s any way to prove one exists.
Rintaro,"That’s right... John Titor! According to Titor, SERN finished their time machine in 2034. And then Titor himself came from 2036.","... Creating Kerr black holes? That’s insane. If you screw up, it could swallow the Earth... and besides, Kerr black holes are just a theoretical construct."
Itaru,"I don’t know about Titor’s predictions, but I’ve seen the problem video before. It was on the news two or three years ago.","The gravitational forces inside a black hole are unbelievably powerful. It’s certainly possible that passing through one could allow time displacement, but there’s no way a human could do that and come out alive."
Rintaro,That must be how these people got gelified.,It wouldn’t just gelify you. It would tear you apart particle from particle. That’s what a black hole does.
Itaru,"Before we discuss this, shouldn’t we look through the rest of their time machine research? Here we go! There’s a file in the Z Program that explains time travel theory.",That was pretty easy to find. SERN should have better security.
Rintaro,Daru is my Favorite Right Arm.,I thought he was your super hacka.
Rintaro,"So what does it say, Christina?",Umm... can you give me some time to read it? No way... but this is... Is Titor really...?
Rintaro,What are you muttering about? Tell me what it says.,"...Oh, right. You know, this feels like one big joke."
Rintaro,What do you mean?,"It’s almost the same. The same as Titor’s theory. Basically... The LHC smashes protons together at 99.9999991% the speed of light. By doing so, they compress a mass of 10kg into an extremely tiny space of 10m."
Itaru,In Japanese please. Three lines max.,A small mass. Thrust into a narrow space. With great force.
Itaru,That explanation’s too erotic!,"Huh? What part of it is erot-- ... ...Ah! H-Hashida, you pervert!!"
Itaru,Sounds like you have a pretty good imagination yourself.,I-I’m not like you!
Rintaro,"Don’t listen to this fool, Christina. Continue.","...ugh. Uh, what were we talking about?"
Rintaro,Proton compression.,"Right. Successful compression generates a micro-singularity, which--"
Rintaro,"Same thing, essentially. A singularity is the core of a black hole.",This process generates a black hole with two micro-singularities.
Itaru,Explain with cute girls.,"Fine. Say there are two cute girls, Mic-chan and Cro-chan."
Itaru,"Sisters are moe. Haah, haah.","By feeding Mic-chan and Cro-chan electrons, you can make them do whatever you want."
Itaru,Electric shock torture? This some sort of eroge?,"... So you force them to rotate at an extremely high velocity. And then, theoretically, Mic-chan and Cro-chan transform into Magical Girl ’Ring Singularity’."
Itaru,Cue stock transformation scene. Got it.,The resulting black hole exhibits what’s called the Kerr effect.
Itaru,"What are Kerr black holes anyway? You said they spin, but what does that mean?",Exactly what it sounds like.
Itaru,"”But don’t black holes usually spin? I mean, there’s a whirlpool around the hole, right?”","The part that looks like it’s spinning is just the surrounding matter being sucked into the black hole. A black hole is just a point where extreme mass causes gravitational collapse. Everything falls towards it. Since it’s only a point, it doesn’t spin.  A Kerr black hole has a ring at its center, not a point. Think of it like this. Once transformed into magical girls, Mic-chan and Cro-chan’s hearts spin like a ring inside their bodies, which is impossible for normal people."
Rintaro,"Before, you said that such a black hole’s existence would be impossible to prove. What did you mean?","A black hole has what’s called an event horizon. Once you pass the event horizon, time and space switch places."
Rintaro,Time and space switch places?,"Right now, we can move freely through space and into the future, but we can’t move even one minute into the past. That becomes reversed. On the other side of the event horizon, moving freely through space becomes impossible, while moving freely through time becomes possible. Since unrestricted spatial movement is impossible, you can never escape a black hole. For example, if Okabe jumped into a black hole, time for him would stretch to infinity. Since light cannot escape, human eyes cannot see the other side of the event horizon. Observing a black hole from the outside is impossible, so nothing about the inside can be proven. There is an exception, however. This exception is vital when you use a Kerr black hole for time travel."
Rintaro,Get to the point.,"The Kerr black hole’s ring singularity. Since it’s spinning, it has angular momentum."
Itaru,"Like I said, in Japanese please.","Didn’t I already explain how the core spins? Just think of that as having momentum. If you keep giving Mic-chan and Cro-chan electrons, they’ll rotate faster and faster. And when their angular momentum exceeds a certain threshold, the event horizon will disappear, and the singularity will become a naked singularity."
Rintaro,"Naked, you mean it becomes observable.","When the event horizon disappears, there’s no more reason for time and space to change places. Meaning that you can enter a naked singularity without being trapped. And then the existence of the naked singularity allows the principle of causality to be violated and the general theory of relativity to fail. The laws of physics are broken!"
Rintaro,C-can such a thing exist?,"Nothing in principle stops Kerr black holes from existing. It seems inconsistent, but the math never lies. Since the principle of causality fails, it would be possible to travel to the past by entering a naked singularity. One thing I don’t understand is how they inject electrons into the singularity. Look. This is a picture of the LHC, but there’s strange equipment installed at the proton collision site. It looks like they call it a ’lifter’, but... just what is it?"
Itaru,"Lifter, lifter... I think I saw that in the Z Program files. Wanna google it? We’ve got hits!",That many? I guess it’s not a secret...
Rintaro,Could this be it? Ionocraft.,Ions are charged particles. The meaning matches.
Rintaro,That’s... an anti-gravity device!,"Don’t be ridiculous. That would be the breakthrough of the century. It’s called an ionocraft, so it probably has something to do with electrodes and charged air..."
Rintaro,"SERN is using this lifter technology. It’s a vital component of their time machine. If they can manipulate a micro singularity’s mass and gravitational field, then these things really are anti-gravity devices!","Well, under those exact conditions, I guess you might not be entirely wrong. But it looks like SERN’s having trouble adjusting their lifter. They don’t have full control over the micro singularity’s gravity. So they can’t make a true naked singularity."
Rintaro,That must be the reason why the subjects turned into jellymen.,"Since the singularity is still closed, the subject is crushed by its tremendous gravity. As a result, substances become fractalized. Let’s go with that hypothesis. Of course, there’s no way to be sure that it’s right. It might take months to prove."
Rintaro,"So SERN’s lifter is still incomplete... If we can complete the PhoneWave (name subject to change) first, then we’ll have outwitted SERN!","We don’t have half the equipment or funding SERN does. What makes you think you can solve a problem that they can’t? This isn’t that simple. SERN still hasn’t figured out how to set the subject’s destination in time or space. That should be evident by how scattered the jellyman discoveries were. We don’t even know if this is all of them. There could be jellymen buried underground or floating in space. Actually, I’m almost certain there are. There’s no point traveling through time if you end up in tens of thousands of kilometers away from the Earth. It’s not practical at all."
Rintaro,Titor said he had a ’variable gravity lock system’. He can use that to lock onto the Earth’s gravity and ensure he arrives somewhere on the planet’s surface.,"Titor’s explanation on that point was vague. He mentioned having such a device, but he didn’t explain how it worked."
Itaru,"But if you’re only moving through time, won’t you just arrive in the same location?",Of course not.
Rintaro,Because the Earth is always moving.,"Right. Rotation and revolution. The Earth’s rotational velocity is about 1,650 kilometers per hour. Its orbital velocity around the sun is about 114,000 kilometers per hour. Meaning one hour ago, we were that far away from where we are now."
Itaru,"Whoa! When you think about it like that, we’re earth-shatteringly fast!","And that’s not all. The Solar System is part of the Milky Way. And the Milky Way spins like a giant whirlpool. There are various theories, but basically the earth moves about 50 million kilometers a day."
Itaru,We’ve kinda gotten to a ludicrous scale.,"By the way, the Milky Way is part of a large cluster of galaxies, which is itself part of an even larger supercluster. And these clusters and superclusters might be moving too. If that’s the case, we’re moving even more than 50 million kilometers a day. The point is that setting the destination would require insane calculations, even if you only want to travel one second into the past. Doing it by hand is impossible, and it might take years for a supercomputer to come up with a solution, just to get you to the same location."
Rintaro,Then we have no choice. We need to find Titor and borrow his variable gravity system.,Great idea. Go for it. I wonder how SERN is dealing with this problem...
Itaru,Have we ever done that before?,Do you even have a round table?
Rintaro,"Not physically. However, it exists in the hearts of all lab mems. Am I mistaken?","Yes, you’re mistaken. Don’t go sticking things in people’s hearts."
Itaru,And why a round table? You King Arthur?,I’m only a temporary lab mem anyway.
Rintaro,"Hmph, ’bad’ you say? We are bad? Absurd. If we’re bad, then SERN is even worse. They aren’t satisfied with ruling the world. Now they want to get their hands on space-time itself!","I agree. What SERN is doing is unforgivable. They’re traitors to humanity, to society, and to science."
Mayuri,Rag in a rock?,Norse mythology again?
Rintaro,Christina! I ordered you to investigate SERN! What have you learned?,"I don’t remember being ordered, but whatever. There are two problems SERN faces with time travel. First is the electron injection device, also known as a ’lifter’. Unless they get it to function properly, they can’t make the Kerr black hole singularites naked. If you send a test subject through the singularity in its current state, the supergravity compresses them to the micro level. Naturally, there’s no way to survive. The second problem is that they can’t specify a physical destination. They can’t choose where they end up after traveling to the past. That’s why I’d say the 14 found jellymen were the lucky ones. Over a hundred human experiments have been performed since 2001. The remaining 80 or so people ended up somewhere they can’t be found."
Itaru,"Didn’t you know, Mayu-shi? The world is constantly moving. Its rotational speed is 1500 kph, and its orbital speed is 114,000 kph--","SERN has been looking for solutions, but it’s not going well."
Rintaro,Now then. Have you learned anything that could help us complete the PhoneWave (name subject to change)?,"Hmm... Well, I suppose you could call the LHC the world’s largest microwave oven."
Rintaro,"Of course! In other words, the PhoneWave (name subject to change) is a miniature LHC!","You might be on to something there. However, there are too many things we don’t know about the PhoneWave. Why do the same phenomena that occur in SERN’s time machine also occur in that tiny little microwave? Unlike the LHC, this thing wasn’t made for time travel."
Mayuri,It was made to warm Mayushii’s chicken!,"W-well, yeah."
Mayuri,"It makes a black hole? Here? It won’t suck us in, will it?","But we still haven’t figured out the electric discharge phenomenon, or the conditions required to cause it."
Rintaro,"Although it hasn’t happened again, that discharge phenomenon could very well signify the injection of charge -- that is, electrons. And only when it occurs does the path to the singularity open.",We don’t know the cause of the discharge phenomenon.
Rintaro,That’s what we need to find out.,"In the first place, the emails we’re sending to the past are digital data, not physical objects. That’s a definite difference from SERN’s time machine."
Rintaro,"No, we’re doing the same thing. Who’s to say that digital data can’t go through a singularity? I think it would be easier than sending something human-sized.",Well... I suppose that’s true.
Rintaro,"It’s more like a beam of light. Like optical digital data. By the way, it’s a pain to keep saying ’email sent to the past’. Let’s give it a proper name.",I’ve got a bad feeling about this.
Rintaro,What’s that supposed to mean? You dare mock Hououin Kyouma!?,"You just want to give it some oddball name, don’t you?"
Rintaro,Hmph! How rude. Heed me! I shall name the phenomenon of ’email sent to the past’ as follows. The name shall be... Nostalgia Drive!,Confusing. Rejected.
Rintaro,Why you! Who gave you the authority to reject my ideas!? You’re just an assistant!,Then why don’t we take a vote? All in favor of Nostalgia Drive.
Rintaro,Fine! Then let’s hear alternatives! Don’t tell me you rejected my idea without having any bright ideas of your own!?,"I think it needs to be something easy to understand. It’s an email that regresses through time, so how about Retromail?"
Rintaro,"Sounds like you have your answer, Christina. You said it should be easy to understand, but it wasn’t easy to understand at all, was it!?","B-but that’s because Mayuri-san is... Uh, n-never mind..."
Rintaro,Were you about to say ’because Mayuri’s dumb’?,N-no!
Mayuri,"Eh? Chris-chan, do you think Mayushii’s dumb?",I don’t! I promise I don’t! Okay?
Itaru,"I already did the movie joke, Mayu-shi.","Besides, I think the meaning is a little off."
Rintaro,That doesn’t even say what kind of email it is!,Hey. We don’t have time for this nonsense. Let’s just abbreviate it to ’D-Mail’ and move on.
Rintaro,But that’s boring.,It don’t care if it’s boring.
Rintaro,Because the path through the ring singularity is open. We’ve been over this already.,We don’t know if there’s actually a black hole at work here. It could be an entirely different phenomenon that just happens to resemble SERN’s experiments. It’s dangerous to jump to conclusions.
Rintaro,There is no think. Only do!,"What, did you read that off a motivational poster? You’re like the classic incompetent boss."
Rintaro,"Indeed. I am the symbol of this lab, not the boss.","I don’t know what you mean by symbol, but how do you plan to turn the PhoneWave into a time machine? Let’s have details."
Rintaro,"My plan... alright, there is one thing. We’ve been thinking that the electrical discharge happens at random, but I have a hypothesis.",Which is?
Rintaro,"Recall the conditions when it occurred, Christina. We experimented through the night with no results, but there’s one variable we overlooked. The simplest, most definitive variable of all. That is, the time of the occurrence.",...ah.
Rintaro,"I checked the times of the two previous occurrences. When I accidentally sent the first D-Mail to Daru’s phone, it happened between noon and one PM. The second time, when all four of us observed the D-Mail, it was six PM. So if we perform the experiment within that timeframe, we might be able to reproduce the effect.",Let’s try it right now!
Mayuri,Mayushii’s banana supply is getting low... gotta buy more.,"Sorry, Mayuri-san. I’ll go buy you some new bananas later."
Mayuri,"Really? Yay♪ Okarin and Daru-kun eat my bananas, but they never buy new ones...","First, let’s see if it’ll become a jellyman. Agh!"
Rintaro,Trying for the clumsy girl appeal?,It was an accident! Put the microwave somewhere else! It’s dangerous and hard to reach like this.
Mayuri,"Chris-chan, Chris-chan! Pain, pain, go away♪","Thanks, Mayuri-san. Ah!"
Rintaro,"Heh heh heh... muhahaha... MUHAHAHAHA! Just as I suspected, the critical variable was time!","W-way to go, Okabe. It was so simple, I didn’t notice it."
Rintaro,"Your praise does you credit, Christina, but I know you’re frustrated you didn’t think of it first. Muhahahaha!","Anyway, let’s see if we can send another D-Mail."
Itaru,"It’s cool, man. You never had any to begin with.","Help me, you two! Okabe, I’m sending an email to your phone."
Mayuri,"What are you gonna send, Chris-chan?",It doesn’t matter what it says. What matters is whether we can send it or not.
Rintaro,"Wait! You there, assistant! What are you typing?",You’ll see. Ready? I’m sending it.
Itaru,"Starting the countdown! 3, 2, 1... zero.",Kya!
Rintaro,"MUHAHAHAHA! It’s working! It’s working, you guys!",...Did it arrive? Pfft...
Rintaro,Christina. Did you send two mails?,Eh? No. I only sent one.
Rintaro,But I received two.,"You’re right... I even sent it in one sentence, but it got divided."
Rintaro,"By the way, what does this word mean?",Why don’t you look it up?
Rintaro,You’re right. This one got split too.,I wonder what’s causing it.
Mayuri,"Um, Mayushii wants to know why it arrived five days ago.",Good point. Didn’t the last one also arrive five days before we sent it?
Rintaro,"Alright, lab mems! Battle stations!",He’s at it again...
Mayuri,Wow! You’re so generous♪,So I guess your job is opening the microwave.
Rintaro,"Heh. No, my assistant’s judgment is sound. The key to a successful D-Mail is most likely the correct timing of opening the microwave door!","Uh, I was just kidding."
Rintaro,"Furthermore, the current operation is top secret. You must not leak it to anyone. Got it? Now I shall give this operation a name! It shall be known as Op--",Don’t need one. Let’s start.
Rintaro,Wha... but...,Go ahead and rest. I’m gonna have a go at it a little longer.
Rintaro,...I see.,I sent you an email. Didn’t you get it?
Rintaro,Stop screwing around! I’m the one who has to deal with Mister Braun!,But I gave you five days advance notice.
Rintaro,"Yeah... I could feel his Killing Aura. Anyway, no more experiments today.","Well, at least we got some good data. I’m dead tired, and my hair’s dried out. I want to take a shower and go sleep."
Mayuri,"If you want a shower, there’s one here. It doesn’t have a bath, though. Okarin always uses it.",It’s probably filthy...
Rintaro,I’d be lying if I called it clean. This entire building is in shambles.,"Anyway, I refuse to use the same shower as Okabe."
Rintaro,"I understand. Nobody will blame you if you don’t use it. Of course, since the three of us stayed up all night, we’re all pretty smelly. Heh heh heh.",That’s why I’m going back to my hotel once I finish eating.
Rintaro,Celebrity bath time at a high class hotel? I want to come too.,Not a chance.
Mayuri,Mayushii wants to come too!,"You can come any time, Mayuri-san."
Itaru,Me neither.,Same. I didn’t give it a second thought.
Itaru,"It’s normal, duh.",No objections.
Rintaro,"Oh, right. Thanks to a certain assistant, I didn’t get a chance to present the operation’s codename yesterday. Heed me! These D-Mail experiments are all part of Operation Ur--","The experiments have been fruitful. At the very least, we’ve learned what we can do with D-Mail. That about sums it up. Anything to add?"
Itaru,"But we figured out how to control when it arrives. That’s pretty good, right?",Observation isn’t enough. We need to find the underlying principle. What I’ve written here is nothing but verified phenomena.
Mayuri,"And you can send 36 letters in a D-Mail, but everything past that disappears, right-? So I think maybe you can’t send big things, or a lot of small things. Maybe the Curb black hole--","Uh, it’s Kerr black hole."
Mayuri,The Curb black hole--,Kerr black hole.
Rintaro,Stop making her say stuff like that!,"The hole is tight... huh. That might not be entirely wrong. Maybe we have the same problem SERN has with their time machine. Since they can’t fully control the lifter, they can’t make the singularities perfectly naked, which limits how much they can send."
Itaru,"Anyway, 6 Japanese or 12 English characters comes out to 12 bytes.",Bytes? Not kilobytes?
Rintaro,"Heh. Is that so, assistant?","Sh-shut up! You don’t see things measured in bytes nowadays, so I was just making sure..."
Rintaro,"But I’m pretty sure that chicken and bananas have to be larger than 12 bytes. Since each grain of salt is tiny, it’s possible they could be converted to less than 12 bytes.",So larger masses get crushed by supergravity?
Rintaro,Mass might not be the issue here. Data doesn’t have mass.,"In any case, since the singularity isn’t naked, the object is forced to pass through the event horizon. Inside the event horizon, space and time switch places, causing the subject that arrived at the ring singularity to reach ultra high speed... The data, crushed and destroyed by super gravity, is shot out of the black hole..."
Rintaro,As a jellyman.,But even a small mass has to pass through supergravity. How does it emerge unscathed?
Rintaro,"If the hole is too tight, then just inject more electrons.","I don’t think it’s that simple. I mean, I’m sure SERN’s tried that already. And yet they haven’t gotten any results after nine years of experiments. It’s not as simple as increasing the flow of electrons."
Rintaro,I see...,"SERN has a lifter, but we don’t know what in the PhoneWave is filling the same role, much less how to adjust it."
Rintaro,"Think of it like an RPG. The ring singularity, the entrance to the event horizon, is the gate to the Demon Lord’s castle.",D-demon Lord...?
Mayuri,I get it! That’s really easy to understand.,It is?
Mayuri,Ehehe! Yay!,But it’s still a hypothesis. It hasn’t been proven.
Itaru,How would you prove it? With human experiments like SERN?,"If Okabe and Hashida-san volunteer as test subjects, I’ll happily experiment on you."
Rintaro,"Same here. No, not in the way he’s implying.","Idiots. As I keep saying, the real problem is what the PhoneWave uses as a lifter."
Itaru,Though I guess it’s not a real time machine unless we can send people to the past.,"Even SERN has failed to send humans through. If you believe what Titor says, it won’t be another, what, 24 years before there’s a true time machine?"
Rintaro,Physical time travel is impossible for us at the moment. We lack the funds and facilities available to SERN. And yet we have realized a form of time travel. We’ve sent data to the past.,We should investigate the PhoneWave further. We need to understand what’s going on.
Itaru,It’s not the first. SERN beat us.,And you can’t even say we developed it. It happened by accident.
Rintaro,"Hmph! It seems that my assistant doesn’t know the meaning of the word ’serendipity’. Penicillin, X-ray machines, dynamite -- these inventions and more were all born from coincidence!",I guess...
Mayuri,"But Chris-chan, you said before that time machines don’t exist, right? But now you admit they do!","It’s just that I have to admit it for now. If we investigate how the PhoneWave works, it might turn out to be something that only seems like time travel."
Itaru,"Wait, that was a Round Table Conference? I didn’t know that. And it’s even the 66th.","Who cares what kind of table it is? I’m gonna go back to my hotel, take a shower, and sleep."
Itaru,"Alright, program complete.",Then lets resume the experiments.
Rintaro,"Heh, don’t worry. Yesterday, I made this promise with Mister Braun. ’I swear there won’t be any more shaking today.’ In other words, the no-shaking promise only applied yesterday, so since today is yesterday’s tomorrow, we can shake it all we want!",That doesn’t settle anything. Why you’re so confident is a mystery to me.
Rintaro,"In other words, Christina, you want me to erase Mister Braun.","No! Besides, I don’t think a wimp like you stands a chance against him."
Suzuha,Of course I am. Why else would I be here?,"What, is she still tinkering with that bike of hers? She was there when I came in, glaring at me."
Rintaro,The manager of that junk shop you work at.,It’s not a junk shop. It’s a CRT specialty shop.
Rintaro,"You heard her. This must be the choice of Steins Gate. Mister Braun is currently absent. In other words, we can experiment to our heart’s content!","That doesn’t solve the problem, you know."
Rintaro,Enough of your unsophisticated names. The upgraded version shall be known as Heavenly Merry-Go-Round.,The name doesn’t matter. Let’s just start the experi--
Moeka,...You looked like you were having fun.,Hardly. I’m fed up with these people and their fooling around.
Itaru,This assistant is such a tsundere.,Who are you calling a tsundere!?
Itaru,"Oh? Makise-shi, you know what tsundere means?",...N-no.
Rintaro,I think you do. It’s written all over your face.,Mmmgh...
Rintaro,"Now then, lab mems. The 73rd Round Table Conference will come to order.",Yesterday was the 66th. Where’d the other six go?
Rintaro,"Only anal retentive bastards care about the minor details. That’s why you’ll never be more than an assistant, Christina!","Like I keep saying, I’m neither your assistant nor Christina."
Rintaro,"When I say practical applications, what I mean is... Changing the past.",Now hold on! It’s too dangerous! Are you trying to play god!?
Rintaro,Oh? What’s so dangerous about it?,Let’s say you create a time paradox and blow up the world. What do you plan to do then?
Rintaro,"Well, I guess we’d be dead.","You’re going to change the past so recklessly? Are you kidding me? Don’t tell me... you’re not seriously trying to bring chaos to the world or whatever, are you?"
Itaru,"Nah, he’s all talk. It’s fine to ignore him, Makise-shi.",R-really?
Moeka,Project... Chaotic?,Did you just come up with that?
Itaru,"Correct, Makise-shi!",YES.
Rintaro,"First of all, the purpose of this experiment is to verify whether or not we can actually change the past. So it doesn’t matter how trivial the change is.",Have you heard of the Butterfly Effect?
Itaru,"Yeah, it’s like that saying. ’When the wind blows, the bucket maker gains.’","Eh? No, it’s kinda like that, but kinda not..."
Rintaro,"A butterfly flaps its wings in Beijing and a storm happens in New York, right?","Yeah, that. Part of Chaos Theory. Basically, any change, no matter how small, could have a significant effect on the future. How do you plan to take responsibility for that?"
Rintaro,Titor said that the many-worlds interpretation holds true.,And that makes it okay to change the past? You’re going to believe that self-proclaimed time traveler’s delusions?
Rintaro,Can you prove they’re delusions?,I’m asking what you’re going to do if they are. How are you going to deal with the consequences?
Rintaro,"Christina, you said this before, did you not? When hypotheses pile up, and theories are verified, they become reality. That’s how modern physics comes to understand the truth of the universe. You’re contradicting yourself.","No, I’m not. We don’t even have a hypothesis for how the PhoneWave works. We’re just fumbling around in the dark here. There are still too many risks to try changing the past. We should wait until we know more."
Rintaro,"You’re actually itching to try it out, aren’t you?",W-well...
Rintaro,"Besides, didn’t you want to prove that the PhoneWave (name subject to change) isn’t a time machine? If it’s not a time machine, then it can’t change the past. You could prove yourself right, so why are you against it?",Oh shut up...
Rintaro,"And if you’re going to talk about time paradoxes, then what about SERN? They’ve already sent more than 100 people to the past. Surely a few paradoxes have happened by now.",So you want to stoop to the same level as the guys that did those inhumane experiments?
Rintaro,"Hmph. Peace, you say? Don’t be ridiculous. I am the insane mad scientist, Hououin Kyo--",And here I thought you had ambition.
Rintaro,"Don’t get me wrong. This isn’t about world peace and it isn’t about ambition. It’s about discovering whether or not we can change the past. The easiest way to do that is to see if we can win the lottery, right?","But your primary goal is the money, isn’t it?"
Rintaro,"With that kind of money, I could say goodbye to this rickety old building! Muhahaha! I could get an office in Daibiru or UPX!",See? Just like I thought.
Mayuri,A t-truckload?,"No, Mayuri-san! Don’t let him tempt you!"
Rintaro,"Shut it, Celeb Seventeen!",S-se...? Serendipity?
Rintaro,Celeb. Seventeen.,What the hell is that supposed to mean!?
Rintaro,You live in a hotel off of your parents’ money. You could never understand the plight of poor students like us.,"... What do you think, Moeka-san?"
Rintaro,"If you’re going to complain, then suggest an alternative. A change to the past that would be both trivial and easy to understand. Got anything?",Um...
Mayuri,Hmm?,Let’s try changing the hotel I’m staying at.
Rintaro,"How are we supposed to know the difference? If you want to stay in Uguisudani, do it on your own. That should be easy for a Celeb Seventeen like you.",Do you have to say it like that?
Rintaro,Because that’s where all the love hotels ar--,One more word out of you and I excise your frontal lobe with a rusty scalpel.
Mayuri,"First, we need to buy a lottery ticket.","No, first we need a winning number."
Rintaro,"Exactly, Celeb Seventeen! Now you’re talking.",Don’t call me Celeb Seventeen.
Itaru,"Hmmm, I’ll google it.","If someone sent me the winning numbers from the future, would I believe it?"
Mayuri,"Um, Mayushii doesn’t even know how to buy a lottery ticket...",That’s okay. I don’t think teenage girls buy lottery tickets.
Itaru,Why?,That is an awful lot of money... hahaha...
Rintaro,"No, not that. 1st place would be... too conspicuous.",What?
Rintaro,"Don’t you get it!? I’m being chased by the Organization. If we win 1st prize, the media will cover the event and my cover will be blown!",That’s stupid.
Rintaro,"No. Stage Two of Operation Urd does have its risks, just like Celeb Sev said.",Celeb... Sev? Don’t abbreviate it.
Rintaro,"I’ll be the winner. That way, I shoulder all of the risk.","And all of the money, right? I see your plan."
Rintaro,"Yeah, that’s good. That should be about right.",You’re such a chicken.
Rintaro,"Heh, heh heh heh! That’s rich, coming from the one who was so worried about the risk of time paradoxes. Eh, Celeb Sev!?","I’m begging you, stop calling me that. I’ll settle for assistant. And don’t misunderstand. I’m still worried about what could go wrong."
Rintaro,I’m trying to minimize our risk by choosing an amount that’s just right. Stop being so stubborn.,"...No, you."
Itaru,"The drawing was five days ago. It needs to arrive before that, right?","We’ll send it to one week ago. 7 days is 168 hours, so let’s round up a bit and enter 170#."
Rintaro,The time has come. Prepare to open Steins Gate!,"It’s been bugging me, but what is that Steins Gate thing?"
Rintaro,"Steins Gate is Steins Gate. Nothing more, nothing less.",That doesn’t explain anything.
Itaru,More sexy this time!,"Stop it, perv."
